countyFIPS,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
49057,401.4,256359.0,64.0,30.7,10.982049039000001,7.7,172.6,2.0
22019,181.2,203112.0,75.0,35.9,20.245888383,10.4,284.5,5.0
35013,55.0,217522.0,51.0,32.4,16.428989415,8.2,122.8,2.0
13057,508.3,254149.0,15.0,36.3,14.563460128,9.3,154.9,1.0
10005,210.6,229286.0,38.0,45.4,16.085001169,9.5,181.8,3.0
47187,314.4,231729.0,28.0,38.5,15.256201902,7.0,140.9,1.0
19193,117.1,102539.0,33.0,35.1,18.502301039000002,8.4,140.6,2.0
28049,282.0,237085.0,218.0,33.1,18.854159609,13.1,230.1,5.0
51107,605.8,406850.0,33.0,34.8,10.980386028,6.6,106.5,2.0
27145,112.2,159256.0,41.0,33.3,14.631964231,7.7,114.7,4.0
06095,503.0,446610.0,92.0,36.9,11.705074337000001,9.2,123.7,4.0
37071,578.9,222846.0,74.0,38.9,16.768014654,9.1,185.8,1.0
01117,248.5,215707.0,32.0,36.9,15.561157468,9.6,162.2,1.0
08123,63.4,314305.0,26.0,33.1,13.748363782,6.9,132.8,1.0
28033,338.7,182001.0,44.0,35.0,15.317170828,11.3,193.7,2.0
30111,56.2,160137.0,41.0,38.3,16.188982732,7.2,152.9,2.0
17019,201.8,209983.0,51.0,28.9,15.765181249000001,9.9,133.9,2.0
19013,231.7,132408.0,24.0,34.4,18.266057458,9.7,150.5,3.0
22103,276.4,258111.0,149.0,39.3,17.709280575,9.6,165.8,6.0
26139,468.2,290494.0,22.0,34.5,13.635632155,7.3,134.6,3.0
29099,333.1,224347.0,67.0,37.8,18.827690898,11.6,206.8,2.0
37051,489.7,332330.0,48.0,31.0,18.090857472,11.9,188.2,1.0
48135,152.8,162124.0,50.0,31.4,14.225831664000001,8.2,248.8,2.0
42077,1012.6,368100.0,143.0,39.4,18.336704588,10.4,151.6,3.0
51041,747.1,348556.0,106.0,37.6,15.084343506,9.2,146.3,2.0
31153,664.6,184459.0,8.0,32.9,12.973444557999999,9.2,133.7,2.0
45091,332.2,274118.0,24.0,37.2,15.483703240999999,10.3,156.0,1.0
29019,237.3,180005.0,110.0,29.6,18.520999173,7.8,143.7,2.0
48423,227.6,230221.0,194.0,35.6,15.871641939000002,12.4,229.7,4.0
55073,86.8,135428.0,52.0,39.4,15.15327876,8.9,130.8,2.0
18163,769.7,180974.0,154.0,37.5,21.39977125,9.7,169.5,2.0
13151,633.1,230220.0,40.0,35.3,15.813825044000001,12.3,170.0,1.0
19103,213.2,151260.0,95.0,29.3,14.52809202,6.7,152.7,2.0
42133,481.1,448273.0,60.0,40.1,16.231194929,9.3,155.6,5.0
48381,132.4,136271.0,0.0,35.3,13.271109503,8.2,198.1,0.0
22073,251.8,154475.0,88.0,34.1,21.431656792000002,13.2,180.5,4.0
55059,611.9,169290.0,27.0,36.3,17.017955366,6.8,185.1,2.0
01003,114.7,218022.0,51.0,41.1,17.489032597,8.5,183.2,3.0
08013,405.6,326078.0,72.0,35.8,11.318441782,4.6,114.5,5.0
26161,488.4,370963.0,92.0,33.3,12.131392772,6.8,149.2,4.0
06041,485.1,259666.0,66.0,44.5,9.7252337607,3.8,100.5,3.0
48209,231.7,222631.0,42.0,30.4,14.14718491,8.5,131.2,3.0
12005,222.6,185287.0,77.0,39.5,22.708204482,10.0,187.8,2.0
47165,303.4,187149.0,38.0,38.6,18.136700439000002,7.1,172.2,2.0
13059,979.1,127330.0,104.0,25.9,20.131694769,8.1,175.0,2.0
34035,1071.7,331164.0,28.0,40.2,10.843821150999998,6.2,136.2,1.0
12091,194.4,207269.0,57.0,38.3,18.468031092,10.1,164.0,3.0
12109,316.4,254261.0,47.0,42.2,15.059046719000001,6.1,127.9,1.0
19061,154.0,96854.0,18.0,38.6,16.403689039,5.8,158.4,3.0
41067,731.4,597695.0,85.0,35.3,11.294746345,7.7,114.3,4.0
55105,223.3,163129.0,33.0,38.0,17.345920315999997,10.1,159.0,4.0
19163,360.7,173283.0,46.0,37.7,17.148112040999997,9.9,136.6,2.0
13021,622.8,153095.0,117.0,35.6,19.066923251,12.4,281.0,3.0
48027,295.2,355642.0,90.0,29.6,15.179414783,11.7,166.3,3.0
51087,1313.4,329261.0,53.0,37.5,15.165087834000001,8.5,155.3,1.0
41047,266.7,346868.0,68.0,35.1,15.409631355999998,8.9,134.2,3.0
01081,230.9,163941.0,28.0,29.5,17.560140407000002,9.5,180.2,1.0
04017,10.8,110445.0,12.0,34.7,20.611978362000002,13.6,146.9,4.0
13215,877.5,194160.0,61.0,33.5,20.058142913,12.9,255.7,3.0
36067,600.0,461809.0,152.0,38.6,15.75882059,9.5,162.1,3.0
37147,257.9,179914.0,71.0,31.0,17.373690184,9.5,166.6,1.0
55131,306.2,135693.0,12.0,40.9,13.519685850999998,5.2,140.9,2.0
55039,141.2,103066.0,15.0,40.2,15.788275920999999,7.1,151.5,3.0
12019,315.8,216072.0,28.0,38.0,19.886004808,10.0,151.8,2.0
